pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2015-04-05,98.1,-1.05,6.15,"Rosenthal, Trevor",570489,572096,strikeout,swinging_strike,,,,,11,Arismendy Alcantara strikes out swinging.,R,L,R,CHC,STL,S,2,,3,2,2015,-0.48,1.6,-0.3123747100747272,3.5912210421971995,,,,2,9,Bot,,,,,,150405_222345,3.2924506329844063,-143.80310166682776,-4.7513157216396325,-7.178,33.752,-9.637,3.36,1.55,,,,97.3,2352,5.8,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,0.0,0.0,1,0,0,,75,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,-0.007,-0.31,,,,0.31,,-3,-3,0.007,0.007,25,23,25,24,1,1,,,6,3,0.8,0.48,-0.48,,,,,,
CH,2015-04-05,86.6,-0.72,6.14,"Rosenthal, Trevor",570489,572096,,ball,,,,,12,,R,L,R,CHC,STL,B,,,2,2,2015,-1.14,1.32,1.3769351238821863,2.9696941966601673,,,,2,9,Bot,,,,,,150405_222329,7.731792582473285,-126.79466298310824,-3.3829600101414963,-13.388,24.588,-17.663,3.36,1.55,,,,86.2,1774,5.8,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,75,5,Changeup,0,3,0,3,3,0,0,3,Standard,Strategic,,0.002,0.098,,,,-0.098,,-3,-3,0.005,0.005,25,23,25,24,1,1,,,6,3,1.75,1.14,-1.14,,,,,,
FF,2015-04-05,97.4,-1.04,6.18,"Rosenthal, Trevor",570489,572096,,foul,,,,,13,,R,L,R,CHC,STL,S,,,2,1,2015,-0.95,1.53,-0.8415614583579675,2.1324135413048957,,,,2,9,Bot,,,,,,150405_222307,3.0795561447618436,-142.67143687508022,-8.393183007670247,-13.219,34.786,-10.069,3.36,1.55,218,81.0,59,96.8,2461,6.0,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,75,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,-0.001,-0.076,,,,0.076,88.0,-3,-3,0.006,0.006,25,23,25,24,1,1,,,6,3,0.92,0.95,-0.95,,,,,,
FF,2015-04-05,97.0,-1.03,6.17,"Rosenthal, Trevor",570489,572096,,called_strike,,,,,11,,R,L,R,CHC,STL,S,,,2,0,2015,-0.61,1.55,-0.8712085167940079,2.800193364526741,,,,2,9,Bot,,,,,,150405_222252,2.0496470780418106,-142.17216322473257,-6.593322761490081,-8.456,33.307,-10.377,3.36,1.55,,,,96.7,2299,6.1,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,75,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,-0.002,-0.07,,,,0.07,,-3,-3,0.008,0.008,25,23,25,24,1,1,,,6,3,0.91,0.61,-0.61,,,,,,
FF,2015-04-05,98.0,-0.98,6.25,"Rosenthal, Trevor",570489,572096,,ball,,,,,14,,R,L,R,CHC,STL,B,,,1,0,2015,-0.56,1.89,0.4675645492128077,0.907658990253836,,,,2,9,Bot,,,,,,150405_222234,5.412126376481889,-143.09831244287966,-12.958100585561889,-8.748,33.782,-4.052,3.36,1.55,,,,97.6,,6.2,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,75,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,0.002,0.065,,,,-0.065,,-3,-3,0.006,0.006,25,23,25,24,1,1,,,6,3,0.54,0.56,-0.56,,,,,,
FF,2015-04-05,97.9,-0.88,6.16,"Rosenthal, Trevor",570489,572096,,ball,,,,,14,,R,L,R,CHC,STL,B,,,0,0,2015,-0.93,1.55,0.0829166389466001,1.0569204293688106,,,,2,9,Bot,,,,,,150405_222222,5.095038769525265,-143.01479302855353,-11.360465121804475,-13.426,33.872,-9.009,3.36,1.55,,,,96.9,2466,5.9,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,75,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,0.001,0.037,,,,-0.037,,-3,-3,0.005,0.005,25,23,25,24,1,1,,,6,3,0.89,0.93,-0.93,,,,,,
FF,2015-04-05,98.5,-0.94,6.24,"Rosenthal, Trevor",592609,572096,strikeout,swinging_strike,,,,,11,Mike Olt strikes out swinging.,R,R,R,CHC,STL,S,2,,2,2,2015,-0.24,1.66,-0.0863592401911818,3.750143605597812,,,,1,9,Bot,,,,,,150405_222148,2.987259168145587,-144.38103360206284,-4.785955181375961,-3.972,34.3,-8.728,3.5,1.57,,,,97.5,2350,5.7,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,0.0,0.0,1,0,0,,74,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,-0.011,-0.216,,,,0.216,,-3,-3,0.016,0.016,25,26,25,27,1,3,,,6,5,0.73,0.24,0.24,,,,,,
FF,2015-04-05,98.1,-0.89,6.21,"Rosenthal, Trevor",592609,572096,,foul,,,,,2,,R,R,R,CHC,STL,S,,,2,1,2015,-0.68,1.35,-0.0202190252539015,2.9258580699216816,,,,1,9,Bot,,,,,,150405_222130,4.201897127855262,-143.68440902199515,-5.994589318425956,-10.048,34.938,-12.768,3.5,1.57,,,,97.1,1739,5.8,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,74,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,-0.005,-0.067,,,,0.067,,-3,-3,0.021,0.021,25,26,25,27,1,3,,,6,5,1.07,0.68,0.68,,,,,,
FF,2015-04-05,97.8,-0.99,6.22,"Rosenthal, Trevor",592609,572096,,called_strike,,,,,7,,R,R,R,CHC,STL,S,,,2,0,2015,-0.75,1.62,-0.3764024227833735,2.1314167500409225,,,,1,9,Bot,,,,,,150405_222115,3.6864790495475583,-143.17604595741568,-8.80889685798603,-10.854,35.497,-8.687,3.5,1.57,,,,96.8,2383,5.9,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,74,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,-0.005,-0.071,,,,0.071,,-3,-3,0.026,0.026,25,26,25,27,1,3,,,6,5,0.82,0.75,0.75,,,,,,
FF,2015-04-05,95.1,-1.05,6.3,"Rosenthal, Trevor",592609,572096,,ball,,,,,14,,R,R,R,CHC,STL,B,,,1,0,2015,-0.17,1.54,1.6293140897790563,1.529864208174915,,,,1,9,Bot,,,,,,150405_222057,7.464293311325699,-138.93640129210198,-9.770420608021476,-3.854,31.818,-10.753,3.5,1.57,,,,93.9,2416,5.7,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,74,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,0.005,0.071,,,,-0.071,,-3,-3,0.021,0.021,25,26,25,27,1,3,,,6,5,1.04,0.17,0.17,,,,,,
