game_date,batter,pitcher,events,description,release_speed,launch_speed,estimated_woba_using_speedangle
2015-04-05,570489,572096,strikeout,swinging_strike,98.1,,0.0
2015-04-05,570489,572096,,ball,86.6,,
2015-04-05,570489,572096,,foul,97.4,81.0,
2015-04-05,570489,572096,,called_strike,97.0,,
2015-04-05,570489,572096,,ball,98.0,,
2015-04-05,570489,572096,,ball,97.9,,
2015-04-05,592609,572096,strikeout,swinging_strike,98.5,,0.0
2015-04-05,592609,572096,,foul,98.1,,
2015-04-05,592609,572096,,called_strike,97.8,,
2015-04-05,592609,572096,,ball,95.1,,
2015-04-05,592609,572096,,ball,78.9,,
2015-04-05,458085,572096,strikeout,called_strike,98.4,,0.0
2015-04-05,458085,572096,,ball,87.2,,
2015-04-05,458085,572096,,called_strike,86.2,,
2015-04-05,458085,572096,,ball,96.9,,
2015-04-05,458085,572096,,called_strike,95.6,,
2015-04-05,425509,444468,field_out,hit_into_play,94.7,98.6,0.03
2015-04-05,425509,444468,,swinging_strike,93.7,,
2015-04-05,407812,444468,walk,ball,84.8,,0.686843
2015-04-05,407812,444468,,ball,85.8,,
2015-04-05,407812,444468,,ball,85.7,,
2015-04-05,407812,444468,,foul,96.0,,
2015-04-05,407812,444468,,ball,94.9,,
2015-04-05,407812,444468,,foul,95.5,91.9,
2015-04-05,407812,444468,,swinging_strike,84.5,,
2015-04-05,518792,444468,field_out,hit_into_play,96.1,61.7,0.48
2015-04-05,518792,444468,,called_strike,94.8,,
2015-04-05,518792,444468,,ball,95.0,,
2015-04-05,572761,444468,field_out,hit_into_play,94.8,94.4,0.175
2015-04-05,572761,444468,,ball,85.2,,
2015-04-05,572761,444468,,ball,97.1,,
2015-04-05,572761,444468,,ball,96.1,,
2015-04-05,572761,444468,,foul,96.0,79.8,
2015-04-05,572761,444468,,called_strike,95.0,,
2015-04-05,516770,477229,strikeout,swinging_strike_blocked,87.0,,0.0
2015-04-05,516770,477229,,foul,95.5,74.3,
2015-04-05,516770,477229,,foul,94.4,,
2015-04-05,516770,477229,,ball,95.6,,
2015-04-05,519203,477229,walk,ball,86.8,,0.686843
2015-04-05,519203,477229,,ball,86.6,,
2015-04-05,519203,477229,,called_strike,95.0,,
2015-04-05,519203,477229,,swinging_strike,86.8,,
2015-04-05,519203,477229,,ball,94.4,,
2015-04-05,519203,477229,,ball,94.2,,
2015-04-05,624585,477229,field_out,hit_into_play,95.8,100.2,0.371
2015-04-05,624585,477229,,swinging_strike,84.6,,
2015-04-05,624585,477229,,called_strike,84.8,,
2015-04-05,451594,477229,strikeout,called_strike,86.5,,0.0
2015-04-05,451594,477229,,foul,92.8,,
2015-04-05,451594,477229,,ball,94.6,,
2015-04-05,451594,477229,,swinging_strike,85.6,,
2015-04-05,451594,477229,,foul,93.8,,
2015-04-05,451594,477229,,ball,94.1,,
2015-04-05,448602,467008,strikeout,called_strike,83.7,,0.0
2015-04-05,448602,467008,,swinging_strike,82.1,,
2015-04-05,448602,467008,,called_strike,94.0,,
2015-04-05,448602,467008,,ball,96.0,,
2015-04-05,448602,467008,,ball,94.0,,
2015-04-05,448602,467008,,ball,82.8,,
2015-04-05,445055,467008,double,hit_into_play,93.7,90.8,0.802
2015-04-05,543939,467008,field_out,hit_into_play,94.1,82.9,0.082
2015-04-05,543939,467008,,ball,83.7,,
2015-04-05,425877,467008,strikeout,foul_tip,94.4,,0.0
2015-04-05,425877,467008,,foul,94.1,,
2015-04-05,425877,467008,,ball,81.7,,
2015-04-05,425877,467008,,ball,83.0,,
2015-04-05,425877,467008,,foul,93.6,,
2015-04-05,425877,467008,,foul,93.6,79.0,
2015-04-05,425877,467008,,foul,82.4,,
2015-04-05,600303,593372,field_out,hit_into_play,94.8,87.8,0.109
2015-04-05,600303,593372,,foul,81.3,,
2015-04-05,600303,593372,,ball,83.3,,
2015-04-05,600303,593372,,called_strike,84.9,,
2015-04-05,600303,593372,,called_strike,93.2,,
2015-04-05,600303,593372,,ball,94.3,,
2015-04-05,471083,593372,strikeout,swinging_strike,85.1,,0.0
2015-04-05,471083,593372,,ball,85.5,,
2015-04-05,471083,593372,,foul,86.1,,
2015-04-05,471083,593372,,ball,92.8,,
2015-04-05,471083,593372,,ball,94.8,,
2015-04-05,471083,593372,,foul,93.7,,
2015-04-05,570489,593372,walk,blocked_ball,92.9,,0.686843
2015-04-05,570489,593372,,foul,94.8,,
2015-04-05,570489,593372,,ball,85.9,,
2015-04-05,570489,593372,,foul,92.4,,
2015-04-05,570489,593372,,ball,92.2,,
2015-04-05,570489,593372,,called_strike,90.0,,
2015-04-05,570489,593372,,ball,92.5,,
2015-04-05,592609,593372,field_out,hit_into_play,93.3,55.9,0.065
2015-04-05,571431,519166,field_out,hit_into_play,92.4,76.7,0.006
2015-04-05,571431,519166,,ball,92.4,,
2015-04-05,425509,519166,single,hit_into_play,93.0,98.1,0.373
2015-04-05,425509,519166,,swinging_strike,84.9,,
2015-04-05,425509,519166,,ball,85.7,,
2015-04-05,425509,519166,,swinging_strike,83.5,,
2015-04-05,407812,519166,strikeout,swinging_strike,93.3,,0.0
2015-04-05,407812,519166,,foul,84.6,,
2015-04-05,407812,519166,,called_strike,94.1,,
2015-04-05,518792,519166,field_out,hit_into_play,91.8,108.4,0.553
2015-04-05,458085,425794,field_out,hit_into_play,84.2,95.5,0.465
2015-04-05,458085,425794,,blocked_ball,73.6,,
2015-04-05,458085,425794,,foul,86.6,85.0,
2015-04-05,516770,425794,single,hit_into_play,90.2,103.9,0.444
2015-04-05,516770,425794,,ball,75.2,,
2015-04-05,516770,425794,,foul,88.3,88.6,
2015-04-05,516770,425794,,called_strike,72.8,,
2015-04-05,519203,425794,field_out,hit_into_play,84.9,54.5,0.055
2015-04-05,519203,425794,,foul,87.9,,
2015-04-05,519203,425794,,ball,83.1,,
2015-04-05,519203,425794,,ball,87.4,,
2015-04-05,624585,425794,field_out,hit_into_play,84.3,111.6,0.943
2015-04-05,624585,425794,,foul,89.7,,
2015-04-05,624585,425794,,swinging_strike,88.5,,
2015-04-05,624585,425794,,called_strike,86.0,,
2015-04-05,624585,425794,,ball,83.2,,
2015-04-05,624585,425794,,ball,84.2,,
2015-04-05,624585,425794,,ball,87.4,,
2015-04-05,572761,435400,field_out,hit_into_play,94.2,82.9,0.074
2015-04-05,572761,435400,,foul,95.2,,
2015-04-05,572761,435400,,foul,96.1,,
2015-04-05,572761,435400,,called_strike,96.2,,
2015-04-05,572761,435400,,called_strike,95.2,,
2015-04-05,572761,435400,,ball,93.4,,
2015-04-05,572761,435400,,ball,92.8,,
2015-04-05,425794,435400,field_out,hit_into_play,96.9,80.0,0.0
2015-04-05,425794,435400,,foul,96.3,,
2015-04-05,425794,435400,,foul,95.2,,
2015-04-05,445055,435400,field_out,hit_into_play,94.7,92.6,0.096
2015-04-05,445055,435400,,foul,95.8,,
2015-04-05,445055,435400,,foul,94.2,45.0,
2015-04-05,445055,435400,,called_strike,92.1,,
2015-04-05,451594,425794,strikeout,swinging_strike,75.4,,0.0
2015-04-05,451594,425794,,swinging_strike,89.1,,
2015-04-05,451594,425794,,ball,87.5,,
2015-04-05,451594,425794,,called_strike,72.9,,
2015-04-05,600303,425794,field_out,hit_into_play,88.9,94.6,0.363
2015-04-05,600303,425794,,called_strike,88.9,,
2015-04-05,600303,425794,,called_strike,86.8,,
2015-04-05,600303,425794,,ball,85.0,,
2015-04-05,600303,425794,,ball,89.0,,
2015-04-05,600303,425794,,ball,85.2,,
2015-04-05,471083,425794,field_out,hit_into_play,89.3,80.0,0.414
2015-04-05,471083,425794,,ball,85.5,,
2015-04-05,424325,425794,double,hit_into_play,85.8,98.8,0.499
2015-04-05,424325,425794,,ball,84.4,,
2015-04-05,424325,425794,,ball,75.4,,
2015-04-05,424325,425794,,foul,88.8,,
2015-04-05,424325,425794,,foul,84.8,,
2015-04-05,424325,425794,,foul_bunt,83.9,,
2015-04-05,543939,457435,strikeout,swinging_strike,93.3,,0.0
2015-04-05,543939,457435,,ball,79.5,,
2015-04-05,543939,457435,,swinging_strike,92.4,,
2015-04-05,543939,457435,,missed_bunt,90.9,,
2015-04-05,425877,457435,intent_walk,intent_ball,71.5,,
2015-04-05,425877,457435,,intent_ball,72.7,,
2015-04-05,425877,457435,,intent_ball,74.6,,
2015-04-05,425877,457435,,intent_ball,68.8,,
2015-04-05,571431,457435,strikeout,swinging_strike,93.4,,0.0
2015-04-05,571431,457435,,swinging_strike,93.3,,
2015-04-05,571431,457435,,swinging_strike,92.2,,
2015-04-05,425509,452657,field_out,hit_into_play,88.2,69.9,0.072
2015-04-05,425509,452657,,ball,89.5,,
2015-04-05,407812,452657,single,hit_into_play,88.1,69.6,0.505
2015-04-05,518792,452657,single,hit_into_play,90.2,101.8,0.474
2015-04-05,518792,452657,,foul,90.7,,
2015-04-05,518792,452657,,ball,85.8,,
2015-04-05,518792,452657,,foul,89.4,89.5,
2015-04-05,518792,452657,,ball,86.2,,
2015-04-05,518792,452657,,ball,73.2,,
2015-04-05,572761,452657,single,hit_into_play,85.3,108.5,0.635
2015-04-05,572761,452657,,called_strike,88.8,,
2015-04-05,572761,452657,,ball,89.6,,
2015-04-05,572761,452657,,ball,88.0,,
2015-04-05,572761,452657,,called_strike,86.9,,
2015-04-05,572761,452657,,ball,90.5,,
2015-04-05,592609,425794,field_out,hit_into_play,86.1,102.9,0.3
2015-04-05,592609,425794,,foul,90.3,82.5,
2015-04-05,592609,425794,,ball,89.0,,
2015-04-05,592609,425794,,ball,76.2,,
2015-04-05,592609,425794,,ball,87.2,,
2015-04-05,592609,425794,,called_strike,88.9,,
2015-04-05,458085,425794,field_out,hit_into_play,89.2,91.1,0.136
2015-04-05,458085,425794,,ball,73.7,,
2015-04-05,516770,425794,field_out,hit_into_play,84.7,86.8,0.305
2015-04-05,425794,452657,field_out,hit_into_play,91.3,79.1,0.051
2015-04-05,425794,452657,,ball,74.1,,
2015-04-05,445055,452657,strikeout,called_strike,83.6,,0.0
2015-04-05,445055,452657,,ball,91.6,,
2015-04-05,445055,452657,,foul,87.3,,
2015-04-05,445055,452657,,foul,85.6,,
2015-04-05,445055,452657,,ball,84.2,,
2015-04-05,445055,452657,,foul,89.7,,
