column,value,count,share
primary_role,Hitter,2309,0.6177
primary_role,Pitcher,1227,0.3283
primary_role,Two-Way,202,0.054
primary_position,P,1391,0.3721
primary_position,OF,761,0.2036
primary_position,C,434,0.1161
primary_position,SS,280,0.0749
primary_position,2B,265,0.0709
primary_position,3B,241,0.0645
primary_position,1B,236,0.0631
primary_position,PH,30,0.008
primary_position,CF,28,0.0075
primary_position,LF,27,0.0072
primary_position,RF,26,0.007
primary_position,DH,19,0.0051
bats,R,2327,0.6225
bats,L,1075,0.2876
bats,B,321,0.0859
bats,,15,0.004
throws,R,3020,0.8079
throws,L,716,0.1915
throws,B,1,0.0003
throws,,1,0.0003
international_flag,0,3262,0.8727
international_flag,1,476,0.1273
debut_era,Free-agency,718,0.1921
debut_era,Live-ball/pre-integration,654,0.175
debut_era,Expansion,549,0.1469
debut_era,Steroid,547,0.1463
debut_era,Dead-ball,389,0.1041
debut_era,Integration,343,0.0918
debut_era,19th century,282,0.0754
debut_era,Post-steroid,256,0.0685
