feature,model_native_importance
num__award_all_star_mvp_count,0.19303174105853343
num__bat_BA,0.1040218972583597
num__bat_R,0.10008368373613322
num__allstar_years,0.08713683019360961
num__pit_W_yj,0.06495762629936394
num__pit_W,0.06088167203860664
num__awardshare_rows,0.044916049842923245
num__n_mlb_seasons,0.03654142954583311
num__bat_OPS,0.03256389467167803
num__final_age,0.01599732926167784
num__pit_SHO,0.01571252732748523
num__bat_3B,0.015326211461097382
num__pit_K_BB,0.014542381039849027
num__pit_win_pct,0.012866662979613879
num__pit_mean_ERA_plus_proxy,0.011900561749969348
num__bat_RBI_yj,0.010899158753042062
num__career_span_years,0.010278800605200684
num__bat_H_yj,0.009374587861759502
num__bat_mean_OPS_plus_proxy,0.008837624874441563
num__pos_games_C,0.007643364253126126
num__awardshare_max_share,0.007569087426333678
num__pos_games_2B,0.006854832121771818
num__pit_SO,0.006050903323472604
num__awardshare_mean_share,0.005747453377640828
num__pitpost_SHO,0.005626607571553186
num__award_total,0.005247824454743101
num__of_Glf,0.004714160087722156
num__bat_OBP,0.004433345398779023
num__pit_SO_yj,0.004187825257329477
num__fld_E,0.003972990552644143
num__batpost_SB,0.003943775100486775
num__peak_x_longevity,0.003769306691466886
num__pit_mean_ERA_z_good,0.003496910889636711
num__position_versatility_entropy,0.0034064384641950035
num__bat_SO_rate,0.0032517302904179852
num__bat_SH,0.0031643277808937774
num__fld_G,0.0028687677754672108
num__batpost_R,0.0028601223952714016
num__pitpost_W,0.0027586624685724983
num__pit_peak3_W,0.002680729943338639
num__batpost_H,0.0025563668663086763
num__is_pitcher_x_K,0.0024758500558810623
num__birthYear,0.002337250624473663
num__fld_A,0.0023194899731630875
num__pit_peak5_W,0.0022329843800728763
num__pit_H,0.002203704543188051
num__bat_SLG,0.0022033675667850108
num__pit_peak5_SO,0.0021020218286959547
num__bat_RBI,0.001967173904295651
num__pit_save_share,0.001872813435270104
num__bat_peak5_RBI,0.0017153415473087714
num__bat_AB,0.0017093502564981523
num__awardshare_pointsMax_sum,0.0015394059320960262
num__bat_TB,0.0012999612977111672
num__pit_peak3_SO,0.0012701992174120782
num__pos_games_SS,0.0012575100313252845
num__position_concentration_hhi,0.0012412991269507866
cat__primary_position_CF,0.0010993161562659224
num__pit_GF,0.0010785072590673574
num__weight,0.0010641911161864746
num__pos_games_CF,0.000989858011104714
num__bat_2B,0.0009203259270083742
num__bat_HR_rate,0.0009108997425359835
num__pit_WHIP,0.0009083158656838528
num__fld_PO,0.0008884289129296479
num__batpost_OPS,0.0008852717871824218
num__bat_peak5_H,0.0008685815096521181
num__bat_peak3_RBI,0.000822782728489363
num__pit_WP,0.0008141220530329637
num__pit_BB9,0.0008050893741647953
num__pit_peak5_IP,0.0008019284345618464
num__of_Grf,0.0007474596189259453
num__pit_K9,0.0007380149942779758
num__pit_SV_yj,0.0007284146844398365
num__pit_peak5_ERA_plus_proxy,0.0007045348950201879
num__bat_peak3_H,0.0006790478742302199
num__fld_fielding_pct,0.0006253499685545152
num__allstar_games,0.0006062263426289093
num__bat_peak5_OPS,0.0005727075222959403
num__bmi,0.0005139745852445193
num__pos_games_P,0.0004789319635417092
num__pos_games_3B,0.00047826019760447444
num__bat_CS,0.00037256783861416414
num__bat_SB,0.00035332004037234166
num__fld_GS,0.0003526219090770607
num__pit_peak5_SV,0.0003440090212784485
num__career_award_total_norm,0.00031185538195876663
num__pos_games_RF,0.00030825028101704973
num__bat_peak3_SB,0.0002630009513815765
num__pit_G,0.00023299928630406505
num__bat_PA,0.0002245636731838721
num__pit_SV,0.0001880262979709618
num__allstar_starts,0.00018576779533061196
num__bat_peak3_HR,0.00018544765337750698
num__bat_HR_yj,0.00016953163102100715
num__pitpost_ERA,0.00015470299008744695
num__pit_HR9,0.00013020039043474125
num__height,3.0005889185254495e-05
num__pos_games_1B,1.746167891102514e-05
num__bat_peak3_OPS_z,1.4164252133760908e-05
num__bat_H_outlier_high,6.1770903409163675e-06
num__bat_peak3_OPS_plus_proxy,8.576519124643797e-07
num__debut_age_missing,0.0
num__mvp_x_postseason_HR,0.0
cat__birthCountry_Australia,0.0
num__steroid_era_x_HR,0.0
num__final_age_missing,0.0
num__bmi_missing,0.0
num__final_year_missing,0.0
num__debut_year_missing,0.0
num__allstar_x_pos_scarcity,0.0
num__pit_SO_outlier_high,0.0
num__bat_HR_outlier_high,0.0
num__primary_position_missing,0.0
num__pit_max_ERA_plus_proxy_outlier_low,0.0
num__pit_SO_outlier_low,0.0
num__pit_SV_outlier_high,0.0
num__pit_W_outlier_low,0.0
num__pit_SV_outlier_low,0.0
num__bat_max_OPS_plus_proxy_outlier_high,0.0
num__bat_max_OPS_plus_proxy_outlier_low,0.0
num__pit_W_outlier_high,0.0
num__pit_max_ERA_plus_proxy_outlier_high,0.0
cat__birthCountry_Bahamas,0.0
num__primary_pos_scarcity,0.0
num__n_iqr_outlier_high,0.0
num__bat_RBI_outlier_low,0.0
num__bat_RBI_outlier_high,0.0
num__bat_H_outlier_low,0.0
num__bat_HR_outlier_low,0.0
num__award_entropy,0.0
num__award_hhi,0.0
num__salary_total_missing,0.0
cat__birthCountry_Austria-Hungary,0.0
cat__birthCountry_Poland,0.0
cat__birthCountry_CAN,0.0
cat__primary_position_LF,0.0
cat__bats_throws_L_L,0.0
cat__bats_throws_L_R,0.0
cat__bats_throws_L_U,0.0
cat__bats_throws_R_L,0.0
cat__bats_throws_R_R,0.0
cat__bats_throws_U_L,0.0
cat__bats_throws_U_R,0.0
cat__primary_position_1B,0.0
cat__primary_position_2B,0.0
cat__primary_position_3B,0.0
cat__primary_position_C,0.0
cat__primary_position_DH,0.0
cat__primary_position_OF,0.0
cat__bats_throws_B_L,0.0
cat__primary_position_P,0.0
cat__primary_position_PH,0.0
cat__primary_position_RF,0.0
cat__primary_position_SS,0.0
cat__primary_role_Hitter,0.0
cat__primary_role_Pitcher,0.0
cat__primary_role_Two-Way,0.0
cat__debut_era_19th century,0.0
cat__debut_era_Dead-ball,0.0
cat__debut_era_Expansion,0.0
cat__debut_era_Free-agency,0.0
cat__debut_era_Integration,0.0
cat__bats_throws_B_R,0.0
cat__bats_throws_B_B,0.0
cat__birthCountry_Cuba,0.0
num__bats_missing,0.0
cat__birthCountry_Czechoslovakia,0.0
cat__birthCountry_D.R.,0.0
cat__birthCountry_England,0.0
cat__birthCountry_Germany,0.0
cat__birthCountry_Ireland,0.0
cat__birthCountry_Italy,0.0
cat__birthCountry_Jamaica,0.0
cat__birthCountry_México,0.0
cat__birthCountry_Netherlands,0.0
cat__birthCountry_Norway,0.0
cat__birthCountry_P.R.,0.0
cat__birthCountry_Panama,0.0
cat__birthCountry_Russia,0.0
cat__throws_R,0.0
cat__birthCountry_Scotland,0.0
cat__birthCountry_Switzerland,0.0
cat__birthCountry_U.S. Virgin Islands,0.0
cat__birthCountry_USA,0.0
cat__birthCountry_Venezuela,0.0
cat__birthCountry_Wales,0.0
cat__birthCountry_West Germany,0.0
cat__bats_B,0.0
cat__bats_L,0.0
cat__bats_R,0.0
cat__throws_B,0.0
cat__throws_L,0.0
num__throws_missing,0.0
num__salary_years,0.0
num__height_missing,0.0
num__pos_games_LF,0.0
num__pit_IPouts,0.0
num__pit_ER,0.0
num__pit_HR,0.0
num__pit_BB,0.0
num__pit_IBB,0.0
num__pit_HBP,0.0
num__pit_BK,0.0
num__pit_BFP,0.0
num__pit_R,0.0
num__pit_IP,0.0
num__pit_ERA,0.0
num__pit_start_share,0.0
num__pit_complete_game_share,0.0
num__pit_max_ERA_z_good,0.0
num__pit_max_ERA_plus_proxy,0.0
num__pit_peak3_SV,0.0
num__pit_peak3_IP,0.0
num__pit_peak3_ERA_plus_proxy,0.0
num__pit_peak3_ERA_z_good,0.0
num__pit_peak5_ERA_z_good,0.0
num__fld_InnOuts,0.0
num__fld_DP,0.0
num__primary_position_games,0.0
num__pit_CG,0.0
num__pit_GS,0.0
num__pit_L,0.0
num__bat_HBP,0.0
num__debut_age,0.0
num__international_flag,0.0
num__birth_month_sin,0.0
num__birth_month_cos,0.0
num__bat_G,0.0
num__bat_H,0.0
num__bat_HR,0.0
num__bat_BB,0.0
num__bat_SO,0.0
num__bat_IBB,0.0
num__bat_SF,0.0
num__bat_peak5_OPS_plus_proxy,0.0
num__bat_GIDP,0.0
num__bat_ISO,0.0
num__bat_BB_rate,0.0
num__bat_SB_success,0.0
num__bat_mean_OPS_z,0.0
num__bat_max_OPS_z,0.0
num__bat_max_OPS_plus_proxy,0.0
num__bat_peak3_OPS,0.0
num__bat_peak5_HR,0.0
num__bat_peak5_OPS_z,0.0
num__pos_games_DH,0.0
num__pos_games_OF,0.0
num__weight_missing,0.0
num__pos_games_PH,0.0
num__batpost_RBI,0.0
num__batpost_CS,0.0
num__batpost_BB,0.0
num__batpost_SO,0.0
num__batpost_PA,0.0
num__batpost_TB,0.0
num__pitpost_L,0.0
num__pitpost_G,0.0
num__pitpost_GS,0.0
num__pitpost_CG,0.0
num__pitpost_SV,0.0
num__pitpost_IPouts,0.0
num__pitpost_H,0.0
num__pitpost_ER,0.0
num__pitpost_HR,0.0
num__pitpost_BB,0.0
num__pitpost_SO,0.0
num__pitpost_R,0.0
num__pitpost_IP,0.0
num__pitpost_WHIP,0.0
num__debut_decade,0.0
num__birthYear_missing,0.0
num__birthMonth_missing,0.0
num__batpost_HR,0.0
num__batpost_3B,0.0
num__batpost_2B,0.0
num__award_world_series_mvp_count,0.0
num__pos_games_PR,0.0
num__of_Gcf,0.0
num__award_unique,0.0
num__award_years,0.0
num__award_mvp_count,0.0
num__award_cyyoung_count,0.0
num__award_gold_glove_count,0.0
num__award_silver_slugger_count,0.0
num__award_rookie_count,0.0
num__award_triple_crown_count,0.0
num__awardshare_pointsWon_sum,0.0
num__batpost_AB,0.0
num__awardshare_votesFirst_sum,0.0
num__allstar_appearances,0.0
num__birthMonth,0.0
num__salary_total,0.0
num__salary_mean,0.0
num__salary_median,0.0
num__salary_max,0.0
num__salary_first_year,0.0
num__salary_last_year,0.0
num__batpost_G,0.0
cat__debut_era_Live-ball/pre-integration,0.0
