,cooks_d,hat_diag,student_resid,id,inducted,is_high_cooks,is_high_leverage,is_influential
0,1.4727725157474857e-11,3.3813271691785683e-05,0.003024311655530141,Hank Aaron,1,0,0,0
1,3.166325353933298e-07,0.000892129070043679,-0.0862938332632359,Don Aase,0,0,0,0
2,2.1911861945394908e-07,0.0004965942798556914,-0.09623666658688451,Glenn Abbott,0,0,0,0
5,9.553347961560078e-07,0.001311815603132734,-0.12358506925385264,Ted Abernathy,0,0,0,0
7,1.4927946536945853e-07,0.0004578267998561197,-0.0827293550403465,Jim Acker,0,0,0,0
8,3.866703099469481e-08,0.00030258817494625487,-0.05179506334431006,Jerry Adair,0,0,0,0
9,0.0001514499199193279,0.014267430365209824,-0.4687603218413518,Babe Adams,0,0,0,0
10,2.161697110644881e-07,0.0006424089343385976,-0.084035297154469,Bobby Adams,0,0,0,0
11,1.2564513694818705e-07,0.000534542798468415,-0.07023848610488995,Emery Adams,0,0,0,0
14,3.2618394389094645e-07,0.0010257519262422683,-0.08167646123827253,Sparky Adams,0,0,0,0
16,8.208834075820513e-08,0.00080338326077538,-0.046303569771007816,Joe Adcock,0,0,0,0
18,1.1368866785394476e-06,0.00260426842504499,-0.09562228471226211,Tommie Agee,0,0,0,0
19,4.774312667971559e-07,0.0006635284066008575,-0.12288282435700704,Juan Agosto,0,0,0,0
20,9.511557461622994e-08,0.0003645208549094788,-0.07401080127823192,Luis Aguayo,0,0,0,0
22,6.04499207230162e-07,0.0009877056088758932,-0.11331285228604031,Hank Aguirre,0,0,0,0
23,4.079822093813821e-06,0.002604452149829701,-0.18113642055161674,Eddie Ainsmith,0,0,0,0
24,1.435728180552487e-07,0.0004604017252033317,-0.08090535924398565,Jack Aker,0,0,0,0
27,4.693377397204885e-06,0.004480618208879841,-0.14798178998527817,Doyle Alexander,0,0,0,0
29,5.590804119570898e-07,0.003136042125102322,0.06109051535453389,Pete Alexander,1,0,0,0
33,1.2494562126508032e-07,0.0004780342434450876,-0.07406906035203523,Bernie Allen,0,0,0,0
34,0.005072457984496446,0.0410898811506124,1.5766684774259039,Dick Allen,1,1,1,1
35,2.2455647630412146e-07,0.0006339169733446156,-0.08622209135445788,Ethan Allen,0,0,0,0
36,2.273580066572073e-05,0.006721709334196252,-0.26561976088512723,Johnny Allen,0,0,0,0
37,3.2993531019126606e-07,0.0010567107747954526,-0.08093127731537111,Neil Allen,0,0,0,0
38,0.004074180146962521,0.052255666012253184,-1.245686236989159,Newt Allen,0,1,1,1
39,1.7013304200070087e-07,0.0007664058469570845,-0.06825085395350373,Gene Alley,0,0,0,0
40,2.1582962427578246e-06,0.0036988830716312886,-0.1104905618431531,Bob Allison,0,0,0,0
41,2.4224497065980093e-07,0.0005458046470331977,-0.0965161223257588,Doug Allison,0,0,0,0
42,1.812222251385737e-07,0.0005285760553686325,-0.08482948388306294,Bill Almon,0,0,0,0
44,2.0245533442724428e-07,0.000654148912747149,-0.08059235647330854,Sandy Alomar,0,0,0,0
47,5.512402527184239e-07,0.0015971659316386692,-0.08506638798411038,Felipe Alou,0,0,0,0
48,2.344763227358545e-07,0.0006857151914530495,-0.08471070709211091,Jesus Alou,0,0,0,0
