table,status,source_used,source_path,analysis_path,rows,columns,min_year,max_year
Master.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/People.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/Master.csv,24270,25,,
Batting.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/Batting.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/Batting.csv,128598,22,1871.0,2025.0
Pitching.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/Pitching.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/Pitching.csv,57630,30,1871.0,2025.0
Fielding.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/Fielding.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/Fielding.csv,174332,18,1871.0,2025.0
HallOfFame.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/HallOfFame.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/HallOfFame.csv,6426,9,1936.0,2026.0
AllstarFull.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/AllstarFull.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/AllstarFull.csv,6425,8,1933.0,2025.0
AwardsPlayers.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/AwardsPlayers.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/AwardsPlayers.csv,12667,6,1877.0,2025.0
AwardsSharePlayers.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/AwardsSharePlayers.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/AwardsSharePlayers.csv,7613,7,1911.0,2025.0
Salaries.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/Salaries.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/Salaries.csv,26428,5,1985.0,2016.0
Teams.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/Teams.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/Teams.csv,3614,48,1871.0,2025.0
BattingPost.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/BattingPost.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/BattingPost.csv,18687,22,1884.0,2025.0
PitchingPost.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/PitchingPost.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/PitchingPost.csv,7474,30,1884.0,2025.0
FieldingOF.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/FieldingOF.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/FieldingOF.csv,12028,6,1871.0,1955.0
SeriesPost.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/SeriesPost.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/SeriesPost.csv,440,9,1884.0,2025.0
Appearances.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/Appearances.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/Appearances.csv,128512,21,1871.0,2025.0
FieldingPost.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/FieldingPost.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/FieldingPost.csv,17934,17,1903.0,2025.0
TeamsFranchises.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/TeamsFranchises.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/TeamsFranchises.csv,203,4,,
TeamsHalf.csv,ready,SABR/Lahman,/Users/rui/Desktop/vscode/test_project4/data/raw/sabr_lahman/TeamsHalf.csv,/Users/rui/Desktop/vscode/test_project4/data/raw/analysis_input/TeamsHalf.csv,142,10,1892.0,1981.0
