,bat_HR,bat_H,bat_OPS,bat_SB,pit_W,pit_SV,pit_SO,pit_ERA,award_total,allstar_games,career_span_years,bmi,inducted
bat_HR,1.0,0.7210918798732525,0.5430669909358014,0.2551072581989064,-0.2668308001396623,-0.1312888427630725,-0.29462191446662994,0.138664088270256,0.5403451976215542,0.48469058780702845,0.26640052080993754,0.14710098377406575,0.27249443494452597
bat_H,0.7210918798732525,1.0,0.6603871093010956,0.648038434374173,-0.3228851523929246,-0.20498482315098926,-0.39633725366212474,0.15532270138842297,0.42819437936425786,0.4845778557319002,0.3636336237078454,-0.01967091967071962,0.3392073498316615
bat_OPS,0.5430669909358014,0.6603871093010956,1.0,0.36241053563092485,-0.20386818212253227,-0.19129068238065597,-0.3257674117493893,0.1302104841458542,0.2421809951250373,0.21839766330678148,0.10613332688513973,0.04126747711608356,0.16405213340814248
bat_SB,0.2551072581989064,0.648038434374173,0.36241053563092485,1.0,-0.28650528844054013,-0.13918176517558042,-0.3238898926126936,0.16953660544861293,0.23485846026833554,0.23101898247213123,0.23603414416126361,-0.10608322950267209,0.2290773429489519
pit_W,-0.2668308001396623,-0.3228851523929246,-0.20386818212253227,-0.28650528844054013,1.0,-0.021715607524052077,0.8706309864667096,-0.17482625761865914,0.31900111791502167,0.38499980691575764,0.36442883457212244,-0.1104252212664461,0.33148359223832335
pit_SV,-0.1312888427630725,-0.20498482315098926,-0.19129068238065597,-0.13918176517558042,-0.021715607524052077,1.0,0.06775330066954117,-0.08359005000187389,0.053163608620912475,0.16159349580159155,0.09937682493959879,0.023621490574383747,0.06510775488190175
pit_SO,-0.29462191446662994,-0.39633725366212474,-0.3257674117493893,-0.3238898926126936,0.8706309864667096,0.06775330066954117,1.0,-0.1678921622675157,0.389767287158972,0.39804230247373396,0.3566521344125488,-0.0375640541671582,0.28145467111014394
pit_ERA,0.138664088270256,0.15532270138842297,0.1302104841458542,0.16953660544861293,-0.17482625761865914,-0.08359005000187389,-0.1678921622675157,1.0,-0.008938521566434316,-0.03290618114063513,-0.028080715861633007,0.021335844527298205,-0.04229458364251597
award_total,0.5403451976215542,0.42819437936425786,0.2421809951250373,0.23485846026833554,0.31900111791502167,0.053163608620912475,0.389767287158972,-0.008938521566434316,1.0,0.6685737423273386,0.41892567428280447,0.06750501171160701,0.5195640018082192
allstar_games,0.48469058780702845,0.4845778557319002,0.21839766330678148,0.23101898247213123,0.38499980691575764,0.16159349580159155,0.39804230247373396,-0.03290618114063513,0.6685737423273386,1.0,0.4644375434072011,-0.016387543149208657,0.564634594888353
career_span_years,0.26640052080993754,0.3636336237078454,0.10613332688513973,0.23603414416126361,0.36442883457212244,0.09937682493959879,0.3566521344125488,-0.028080715861633007,0.41892567428280447,0.4644375434072011,1.0,-0.06633627905610948,0.38908672340162487
bmi,0.14710098377406575,-0.01967091967071962,0.04126747711608356,-0.10608322950267209,-0.1104252212664461,0.023621490574383747,-0.0375640541671582,0.021335844527298205,0.06750501171160701,-0.016387543149208657,-0.06633627905610948,1.0,-0.002728381766418908
inducted,0.27249443494452597,0.3392073498316615,0.16405213340814248,0.2290773429489519,0.33148359223832335,0.06510775488190175,0.28145467111014394,-0.04229458364251597,0.5195640018082192,0.564634594888353,0.38908672340162487,-0.002728381766418908,1.0
