,n_mlb_seasons,n_mlb_seasons,n_mlb_seasons,career_span_years,career_span_years,career_span_years,debut_age,debut_age,debut_age,final_age,final_age,final_age,bat_PA,bat_PA,bat_PA,bat_AB,bat_AB,bat_AB,bat_H,bat_H,bat_H,bat_HR,bat_HR,bat_HR,bat_RBI,bat_RBI,bat_RBI,bat_SB,bat_SB,bat_SB,bat_BA,bat_BA,bat_BA,bat_OBP,bat_OBP,bat_OBP,bat_SLG,bat_SLG,bat_SLG,bat_OPS,bat_OPS,bat_OPS,bat_mean_OPS_plus_proxy,bat_mean_OPS_plus_proxy,bat_mean_OPS_plus_proxy,bat_max_OPS_plus_proxy,bat_max_OPS_plus_proxy,bat_max_OPS_plus_proxy,pit_IP,pit_IP,pit_IP,pit_W,pit_W,pit_W,pit_L,pit_L,pit_L,pit_SO,pit_SO,pit_SO,pit_SV,pit_SV,pit_SV,pit_ERA,pit_ERA,pit_ERA,pit_WHIP,pit_WHIP,pit_WHIP,pit_K9,pit_K9,pit_K9,pit_mean_ERA_plus_proxy,pit_mean_ERA_plus_proxy,pit_mean_ERA_plus_proxy,pit_max_ERA_plus_proxy,pit_max_ERA_plus_proxy,pit_max_ERA_plus_proxy,award_total,award_total,award_total,allstar_games,allstar_games,allstar_games,salary_total,salary_total,salary_total,height,height,height,weight,weight,weight,bmi,bmi,bmi
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
debut_era,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th century,282,13.5,13.0,275,14.902,14.0,275,22.175,22.0,275,36.076,36.0,282,4509.011,4395.0,282,4096.904,4021.5,282,1132.592,1095.5,282,27.851,18.0,282,515.316,461.5,282,172.287,130.0,282,0.263,0.267,282,0.317,0.318,282,0.349,0.345,282,0.666,0.669,282,97.366,97.714,282,133.428,124.113,282,709.668,1.5,154,80.539,3.5,154,64.656,6.0,154,468.571,34.5,154,2.539,1.0,153,4.786,3.599,153,1.828,1.449,153,2.74,2.7,143,88.782,97.695,143,134.383,138.133,25,2.48,1.0,0,,,0,,,276,69.63,70.0,276,171.612,170.0,275,24.855,24.781
Dead-ball,389,13.861,13.0,297,14.916,14.0,303,22.383,22.0,304,36.306,36.0,389,3301.296,2381.0,389,2915.787,2056.0,389,799.535,558.0,389,24.195,8.0,389,336.954,235.0,389,89.838,44.0,389,0.251,0.258,389,0.311,0.32,389,0.333,0.335,389,0.644,0.658,389,91.182,93.586,389,135.207,125.133,389,700.583,0.0,179,93.866,78.0,179,78.939,76.0,179,627.788,576.0,179,9.844,6.0,179,3.755,3.149,179,1.403,1.29,179,3.465,3.558,169,105.348,103.851,169,174.383,157.953,171,3.719,2.0,8,1.0,0.5,0,,,374,70.452,71.0,365,173.397,173.0,364,24.472,24.392
Expansion,549,13.958,13.0,549,14.332,14.0,549,22.23,22.0,549,35.561,35.0,549,3398.335,2823.0,549,3022.277,2555.0,549,787.035,623.0,549,72.035,27.0,549,358.029,241.0,549,54.115,14.0,542,0.218,0.244,542,0.275,0.306,542,0.309,0.341,542,0.584,0.647,542,80.115,89.147,542,120.18,117.076,549,661.876,0.0,217,98.737,87.0,217,90.728,88.0,217,1013.977,864.0,217,36.733,11.0,216,4.092,3.585,216,1.39,1.31,216,5.415,5.269,209,102.52,104.191,209,167.856,158.607,364,4.588,2.0,272,3.18,2.0,179,2912959.134,1567500.0,549,72.858,73.0,549,185.166,185.0,549,24.505,24.405
Free-agency,718,13.611,13.0,718,14.103,13.5,718,23.117,23.0,718,36.22,36.0,718,3028.781,2307.0,718,2684.951,2032.0,718,716.497,515.5,718,77.019,24.0,718,347.591,211.0,718,62.689,10.0,698,0.207,0.248,698,0.263,0.307,698,0.305,0.35,698,0.568,0.667,698,74.744,86.82,698,116.116,115.68,718,623.914,0.0,342,77.772,66.0,342,71.781,68.5,342,887.468,763.5,342,39.822,6.0,342,4.52,3.943,342,1.432,1.358,342,5.792,5.845,324,103.662,104.677,324,174.286,159.28,456,6.107,3.0,335,3.018,2.0,715,19851647.892,10195000.0,718,73.276,73.0,718,188.35,185.0,718,24.638,24.405
Integration,343,13.426,12.0,343,13.805,13.0,343,22.974,23.0,343,35.778,36.0,343,3335.673,2700.0,343,2963.773,2329.0,343,780.146,622.0,343,82.239,38.0,343,371.446,266.0,343,33.402,10.0,343,0.224,0.248,343,0.284,0.314,343,0.328,0.355,343,0.611,0.665,343,82.351,91.559,343,123.323,118.648,343,677.017,0.0,135,102.556,99.0,135,94.119,95.0,135,1001.215,888.0,135,32.519,15.0,135,3.827,3.663,135,1.35,1.308,135,5.303,5.137,133,105.795,104.273,133,189.965,162.807,228,3.039,1.0,214,4.084,3.0,0,,,343,72.571,72.0,343,185.878,185.0,343,24.791,24.801
Live-ball/pre-integration,654,13.265,12.0,476,14.723,14.0,476,22.874,23.0,504,36.839,37.0,654,2976.517,2137.5,654,2638.179,1889.5,654,738.534,511.0,654,48.11,17.5,654,359.87,242.5,654,35.67,20.0,654,0.25,0.265,654,0.31,0.331,654,0.349,0.362,654,0.659,0.691,654,87.183,91.1,654,125.388,120.949,654,608.251,0.0,306,78.984,74.5,306,69.65,66.0,306,544.101,501.5,306,13.026,9.0,305,4.698,3.961,305,1.473,1.395,305,3.68,3.698,293,101.792,103.059,293,163.569,149.399,339,3.572,1.0,362,2.514,1.0,0,,,650,71.288,71.0,650,180.668,180.0,649,24.971,24.951
Post-steroid,256,11.797,12.0,256,12.043,12.0,256,23.523,23.0,256,34.566,34.5,256,2398.363,1436.5,256,2144.016,1299.5,256,555.797,303.5,256,66.066,18.5,256,267.621,106.0,256,37.035,2.0,250,0.185,0.233,250,0.234,0.293,250,0.275,0.335,250,0.509,0.642,250,67.629,84.766,250,112.243,114.186,256,491.736,4.167,162,45.605,35.5,162,44.259,34.0,162,650.944,560.0,162,18.142,1.0,161,4.782,4.062,161,1.506,1.334,161,6.467,7.159,145,100.826,101.79,145,186.301,158.866,151,3.921,2.0,111,2.09,2.0,256,28652451.035,19363157.0,256,73.699,74.0,256,215.258,215.0,256,27.868,27.601
Steroid,547,12.974,12.0,547,13.494,13.0,547,23.523,23.0,547,36.016,36.0,547,2826.717,1980.0,547,2513.62,1800.0,547,672.455,450.0,547,79.333,28.0,547,333.748,209.0,547,44.567,6.0,540,0.209,0.243,540,0.26,0.304,540,0.318,0.366,540,0.578,0.685,540,73.121,85.719,540,120.836,116.61,547,533.667,0.0,268,63.791,46.5,268,60.761,50.0,268,823.631,692.5,268,42.272,3.0,268,4.554,4.14,268,1.433,1.364,268,6.812,6.892,249,109.756,108.763,249,191.187,167.208,330,4.991,2.0,234,2.714,2.0,547,41608820.176,24137999.0,547,73.495,74.0,547,205.554,205.0,547,26.727,26.542
