,count,mean,std,min,5%,25%,50%,75%,95%,max,missing_rate,missing_count
n_mlb_seasons,3738.0,13.384697699304441,3.1153372830318857,7.0,10.0,11.0,13.0,15.0,19.0,29.0,0.0,0
career_span_years,3461.0,14.079456804391794,3.2904288148777976,1.0,10.0,12.0,13.0,16.0,20.0,36.0,0.07410379882289994,277
debut_age,3467.0,22.884049610614365,2.224125958467886,16.0,20.0,21.0,23.0,24.0,27.0,42.0,0.07249866238630284,271
final_age,3496.0,36.005720823798626,3.3565380686720423,27.0,31.0,34.0,36.0,38.0,42.0,59.0,0.06474050294275013,242
bat_PA,3738.0,3169.360353130016,2905.1417629769576,0.0,11.0,566.0,2508.0,5196.0,8650.199999999997,15861.0,0.0,0
bat_AB,3738.0,2820.319422150883,2573.0125785463547,0.0,9.0,498.75,2256.0,4619.5,7637.099999999995,14053.0,0.0,0
bat_H,3738.0,759.1345639379347,748.6251405750236,0.0,1.0,81.0,580.0,1251.75,2192.1499999999996,4256.0,0.0,0
bat_HR,3738.0,62.09015516318887,97.16639146936258,0.0,0.0,1.0,20.0,83.0,271.0,762.0,0.0,0
bat_RBI,3738.0,357.5050829320492,384.7238921807745,0.0,0.0,31.0,245.5,550.0,1139.2999999999993,2297.0,0.0,0
bat_SB,3738.0,60.69983948635634,106.16785476330614,0.0,0.0,0.0,17.0,71.0,274.0,1406.0,0.0,0
bat_BA,3698.0,0.22547474694663602,0.07816080484967419,0.0,0.07868299871062807,0.18342086955192152,0.25087135438283914,0.2739272603826455,0.3074706941975925,1.0,0.010700909577314071,40
bat_OBP,3698.0,0.2817673558180495,0.09201927948072598,0.0,0.1176470588235294,0.22211524746826414,0.31279578574232914,0.342475156797976,0.3835648688654463,1.0,0.010700909577314071,40
bat_SLG,3698.0,0.321541222657651,0.13598975811089983,0.0,0.08916363462274984,0.2287676543313356,0.34937159458663625,0.4116875084233428,0.4848757832153339,2.5,0.010700909577314071,40
bat_OPS,3698.0,0.6033085784757006,0.22301461004873244,0.0,0.2140299835706462,0.45241114118658676,0.6668986387810447,0.7515244375019767,0.8539182412024816,3.5,0.010700909577314071,40
bat_mean_OPS_plus_proxy,3698.0,81.17283957835579,31.172507543494163,0.0,21.14890019933686,61.60674944108936,90.3914331693382,101.33445335322963,116.63430775881108,452.1835446346673,0.010700909577314071,40
bat_max_OPS_plus_proxy,3698.0,122.77572235266929,52.745526073513496,0.0,53.62761605564069,103.46108489044684,118.63776288608304,135.37384840633376,207.3686917533117,667.2828897894657,0.010700909577314071,40
pit_IP,3738.0,623.8113072944534,1001.4519921855546,0.0,0.0,0.0,0.0,1084.8333333333333,2720.583333333333,7356.0,0.0,0
pit_W,1763.0,79.25524673851389,70.7234993423862,0.0,0.0,27.0,67.0,116.5,214.0,511.0,0.5283574103798823,1975
pit_L,1763.0,71.3539421440726,56.65260016645138,0.0,0.0,27.0,66.0,106.5,173.89999999999986,315.0,0.5283574103798823,1975
pit_SO,1763.0,757.7572319909245,652.9628857244008,0.0,0.0,329.5,660.0,1053.0,1955.8999999999999,5714.0,0.5283574103798823,1975
pit_SV,1763.0,26.311401020986953,59.82777989184827,0.0,0.0,0.0,6.0,21.0,131.89999999999986,652.0,0.5283574103798823,1975
pit_ERA,1759.0,4.41972300389181,5.012192695080548,0.0,0.0,3.343689757514708,3.8274488983275816,4.293793883209268,7.7142857142857135,81.0,0.5294275013376137,1979
pit_WHIP,1759.0,1.46609141717374,0.8017429794135791,0.0,1.0653084348230535,1.2618531023412851,1.3483901073261784,1.4471536541616397,2.25,15.0,0.5294275013376137,1979
pit_K9,1759.0,5.056894709721474,2.614304156981943,0.0,0.0,3.523043944265809,5.091016898903054,6.588784330985916,9.0,27.0,0.5294275013376137,1979
pit_mean_ERA_plus_proxy,1665.0,102.91729047375061,29.3521088421853,5.122879093308398,41.6025860273889,93.10509827009648,104.07929387190651,116.95724006895244,141.78309337690155,455.1677287872416,0.5545746388443018,2073
pit_max_ERA_plus_proxy,1665.0,173.00219872392324,88.24598011359616,5.122879093308398,46.29006190516505,131.93875001037665,156.97055696506354,199.19482610841277,317.1641393819948,1192.8245200611009,0.5545746388443018,2073
award_total,2064.0,4.503875968992248,6.977978274607611,0.0,0.0,1.0,2.0,5.0,19.84999999999991,82.0,0.4478330658105939,1674
allstar_games,1536.0,2.9524739583333335,3.1040092387701184,0.0,0.0,1.0,2.0,4.0,9.0,25.0,0.5890850722311396,2202
salary_total,1697.0,26405657.058927517,34888531.57011832,60000.0,819766.4,4467500.0,13595000.0,33695000.0,99438999.99999997,398416252.0,0.5460139111824505,2041
height,3713.0,72.30702935631565,2.5847690138600043,63.0,68.0,71.0,72.0,74.0,76.0,83.0,0.006688068485821295,25
weight,3704.0,187.98056155507558,21.853800675200215,125.0,158.0,175.0,185.0,200.0,230.0,300.0,0.00909577314071696,34
bmi,3701.0,25.22299620930868,2.1967639286479983,18.457256878806973,22.237755102040815,23.73355263157895,25.05680552461573,26.383936948770877,29.210526315789473,39.74509025986907,0.009898341359015517,37
